Genero,Nombre Pelicula,Año estreno,País,Valoración FA,Director,Cantidad Votaciones,Reparto
Western,Django desencadenado ,2012,Estados Unidos,"7,9",Quentin Tarantino,113.219 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,Deadwood (Serie de TV),2004,Estados Unidos,"7,8","David Milch (Creador), Ed Bianchi, Daniel Minahan",10.170 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,Johnny Guitar ,1954,Estados Unidos,"7,8",Nicholas Ray,12.895 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,Río Rojo ,1948,Estados Unidos,"7,8","Howard Hawks, Arthur Rosson",11.796 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,El Dorado ,1966,Estados Unidos,"7,8",Howard Hawks,12.793 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,Winchester 73 ,1950,Estados Unidos,"7,8",Anthony Mann,6.309 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,Raíces profundas ,1953,Estados Unidos,"7,7",George Stevens,10.733 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,Fort Apache ,1948,Estados Unidos,"7,7",John Ford,7.307 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,Misión de audaces ,1959,Estados Unidos,"7,6",John Ford,4.138 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,Horizontes lejanos ,1952,Estados Unidos,"7,6",Anthony Mann,7.604 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,Las aventuras de Jeremiah Johnson ,1972,Estados Unidos,"7,6",Sydney Pollack,11.068 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,Juntos hasta la muerte ,1949,Estados Unidos,"7,6",Raoul Walsh,1.513 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,Pat Garrett y Billy el Niño ,1973,Estados Unidos,"7,6",Sam Peckinpah,8.435 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
Western,Reprisal! ,1956,Estados Unidos,"7,6",George Sherman,52 ,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan ..."
